#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
1000 	        282.2657 	       3.4495051 	       524.48295
2000 	       669.69864 	       4.8735679 	       526.09033
3000.0001 	       729.00325 	       5.0418245 	       526.29786
4000 	       761.54022 	        5.130655 	       526.40885
5000 	       820.91738 	       5.2870775 	       526.60661
6000 	       855.89103 	       5.3760499 	       526.72042
7000 	       858.06902 	       5.3815188 	       526.72745
8000 	       845.12492 	       5.3488981 	       526.68559
9000 	       841.97568 	       5.3409156 	       526.67537
10000 	       821.77353 	       5.2892836 	       526.60942
