#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	               0 	               0 	              -1
7200 	               0 	               0 	              -1
10800 	       42.794701 	       2.4010621 	       520.99184
14400 	       95.401444 	       2.9942165 	        522.0659
18000 	        162.0637 	       2.6913772 	       523.11695
21600 	       145.02457 	       2.5667887 	       523.00533
25200 	       144.35924 	       2.5620448 	       523.00057
28800 	       140.54388 	       2.5369612 	       522.97281
32400 	       135.37905 	       2.5918203 	       522.86389
36000 	       129.06758 	       2.5326573 	       522.81495
