#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       301.31902 	       2.9496574 	       521.71024
7200 	       466.19125 	       3.3654893 	       522.29887
10800 	       632.30175 	       3.7900066 	       522.78907
14400 	       800.16185 	       3.8728311 	       523.29717
18000 	       1092.2919 	       3.6338127 	       524.02274
21600 	       842.37261 	        3.696735 	       523.52786
25200 	       886.86173 	       3.8884132 	       523.53712
28800 	       808.13683 	       3.7758129 	       523.33652
32400 	       827.32982 	       3.9422989 	       523.25717
36000 	       725.49193 	       3.5999863 	        523.2384
