#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	       45.606925 	       1.6625308 	       522.91001
600 	       531.71977 	       4.4439413 	       525.57666
900 	       694.69703 	        4.945539 	       526.17867
1200 	        734.8982 	       5.0580894 	       526.31811
1500 	       786.15844 	       5.1963561 	       526.49157
1800 	       830.92687 	       5.3127583 	       526.63939
2100 	       846.28125 	       5.3518238 	       526.68934
2400 	       841.12369 	       5.3387549 	        526.6726
2700 	       838.39232 	       5.3318124 	       526.66372
3000 	       826.29359 	       5.3009035 	       526.62423
