#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       47.664956 	       1.4178485 	       520.34784
7200 	         411.388 	       3.3391348 	       522.12944
10800 	       653.36002 	       3.8629487 	       522.85934
14400 	       679.01861 	       3.9174151 	       522.91018
18000 	        829.9617 	       3.9417878 	       523.64835
21600 	       1158.4459 	       3.7695081 	       524.13126
25200 	       1206.3795 	       3.8510912 	       524.14816
28800 	         1138.96 	       3.7490615 	       524.07337
32400 	       1137.0593 	       3.8475966 	        524.0482
36000 	       1058.9277 	       3.8203768 	       524.08412
