#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	               0 	               0 	              -1
7200 	               0 	               0 	              -1
10800 	               0 	               0 	              -1
14400 	               0 	               0 	              -1
18000 	               0 	               0 	              -1
21600 	               0 	               0 	              -1
25200 	       13.936657 	       1.0087376 	       520.41928
28800.001 	       22.647653 	       1.3946741 	       520.72665
32400 	       20.661971 	       1.2888087 	       520.69278
36000 	       17.332277 	       1.1303802 	       520.59785
