#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       334.09963 	       3.0858536 	       521.84834
7200 	       552.33849 	       3.7445151 	       522.57559
10800 	       595.93476 	       3.8648917 	       522.70058
14400 	        701.2895 	       3.9195535 	       523.04696
18000 	       903.26953 	       4.3250813 	       523.55216
21600 	       991.85125 	       4.4862578 	       523.75768
25200 	        978.2567 	       4.4621533 	       523.72664
28800.001 	        937.6567 	       4.3888033 	       523.63286
32400 	       918.95196 	       4.3542913 	       523.58909
36000 	       845.77717 	       4.2147106 	       523.41427
