#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	               0 	               0 	              -1
7200 	               0 	               0 	              -1
10800 	       115.72434 	       3.3529764 	       522.24969
14400 	       158.55045 	       2.8844751 	       523.04861
18000 	       204.50947 	        2.417239 	       523.52028
21600 	       226.40487 	       2.2703816 	       523.61785
25200 	       232.49157 	       2.2978306 	        523.6406
28800 	       227.23865 	       2.2711788 	       523.61883
32400 	       221.83201 	       2.2410329 	         523.597
36000 	       214.49949 	       2.2030634 	         523.564
