#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	               0 	               0 	              -1
7200 	               0 	               0 	              -1
10800 	       67.190371 	       2.5751183 	       521.57811
14400 	       103.09632 	       3.2306889 	       522.10313
18000 	       108.99721 	       3.2998387 	       522.17265
21600 	       165.28209 	       2.9321453 	       523.09776
25200 	       181.49387 	       2.2881318 	       523.40814
28800 	       176.61878 	       2.2667933 	        523.3795
32400 	       169.83924 	       2.2270698 	       523.34443
36000 	        166.1636 	       2.2834087 	       523.27436
