#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       314.43019 	       19.840393 	       520.91241
7200 	       314.43544 	       121.77431 	       520.96543
10800 	       314.47988 	       34.531397 	       521.13645
14400 	       580.86502 	        4.681752 	       524.76347
18000 	           671.3 	       3.7514906 	       526.51968
21600 	           671.3 	       3.3313945 	       527.24189
25200 	           671.3 	        3.343091 	       527.21932
28800 	           671.3 	       3.4659784 	       526.99146
32400 	           671.3 	       3.5457693 	       526.85196
36000 	           671.3 	       3.9625774 	        526.2146
