#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       330.32972 	       3.8389537 	       524.60495
7200 	             524 	       4.0448022 	       525.86289
10800 	             524 	       2.8673395 	       527.40122
14400 	             524 	       2.8696069 	       527.39704
18000 	             524 	        2.360332 	       528.53634
21600 	             524 	       2.1990106 	       529.00729
25200 	             524 	       2.2238174 	       528.93042
28800 	             524 	       2.2985474 	        528.7089
32400 	             524 	       2.3366899 	       528.60129
36000 	             524 	       2.4891392 	       528.20414
