#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	       21.800029 	       1.4544944 	       522.84016
600 	       482.65089 	       4.5382816 	       525.69061
900 	       631.28699 	       5.0503176 	        526.3069
1200 	       674.98735 	        5.186967 	        526.4765
1500 	       728.24856 	       5.3467839 	       526.67715
1800 	       773.41812 	       5.4768034 	       526.84285
2100 	        788.3708 	         5.51877 	       526.89691
2400 	       784.51397 	       5.5080389 	       526.88296
2700 	       781.68757 	       5.5002729 	       526.87263
3000 	       770.39159 	         5.46831 	       526.83181
