#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	               0 	               0 	              -1
7200 	               0 	               0 	              -1
10800 	               0 	               0 	              -1
14400 	    0.0027285487 	   0.00025248256 	              -1
18000 	       45.126684 	       2.0698124 	       521.11273
21600 	       80.999757 	       2.7510691 	       521.80047
25200 	       87.588093 	       2.8735309 	       521.87926
28800 	       98.118283 	       3.2287569 	       521.87064
32400 	       96.444319 	       3.2054447 	        522.0302
36000 	       99.094588 	       3.2407579 	       522.06129
