#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       330.77755 	       3.6754255 	       524.71918
7200 	       529.99459 	       4.4381745 	       525.56991
10800 	       558.77324 	        4.533044 	       525.68122
14400 	       627.81389 	       4.7492871 	       525.93929
18000 	       755.23892 	        5.113631 	        526.3875
21600 	       809.38293 	       5.2572364 	       526.56866
25200 	       797.55865 	       5.2263802 	       526.52952
28800 	       771.52218 	       5.1574541 	       526.44251
32400 	       760.10873 	       5.1267985 	         526.404
36000 	        714.3596 	        5.001069 	       526.24726
