#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	               0 	               0 	              -1
7200 	               0 	               0 	              -1
10800 	       2.0528288 	      0.81514585 	       519.59996
14400 	       28.845822 	       1.1571281 	       520.14165
18000 	       246.28161 	       5.2667028 	       521.14596
21600 	       334.18467 	       3.9714237 	       521.94187
25200 	       285.05599 	       3.4650178 	       521.53106
28800 	       340.32321 	       4.9205859 	       521.33782
32400 	       305.86509 	       4.4738053 	       521.14301
36000 	       216.23859 	       3.4293438 	       521.25956
