#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       355.65364 	       3.8940208 	       523.71572
7200 	       563.92661 	       4.7051406 	       524.62851
10800 	       595.79502 	       4.8011734 	       524.76423
14400 	       670.98248 	       4.9984354 	       525.08892
18000 	       790.08158 	       5.3259071 	       525.54046
21600 	       766.18711 	       5.2978867 	       525.42122
25200 	       740.37113 	       5.2145218 	       525.33677
28800 	       734.15481 	        5.183131 	       525.32591
32400 	       747.53545 	       5.2393858 	       525.35897
36000 	       658.99154 	       4.9703881 	       525.03595
