#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       18.194822 	        1.053816 	       519.98173
7200 	       429.97913 	       3.2650789 	       522.17795
10800 	       587.04666 	       3.6649119 	       522.66587
14400 	       699.65639 	       3.8851634 	       523.03676
18000 	       893.48021 	       3.9061279 	       523.60036
21600 	       982.64605 	       4.0184475 	       523.77338
25200 	       955.21421 	       3.7430575 	       523.79023
28800 	       931.28815 	       3.7076839 	       523.74415
32400 	        917.5233 	       3.7939654 	        523.7408
36000 	       882.79592 	       3.7399652 	        523.6694
