#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	       393.12559 	       3.3107495 	        522.0484
7200 	       813.52713 	       4.1991883 	       523.27784
10800 	       867.29597 	       4.2200787 	       523.46033
14400 	       920.09732 	       4.3238713 	       523.58456
18000 	       1021.7019 	        4.513618 	       523.81575
21600 	       1103.3111 	       4.0613633 	       524.11781
25200 	       1063.7148 	       3.8561148 	       524.02179
28800 	       1019.4169 	       4.0442221 	       523.93149
32400 	       1082.7702 	       4.2637117 	       523.92353
36000 	       1005.4971 	       3.9545178 	       523.91184
