#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	               0 	               0 	              -1
7200 	               0 	               0 	              -1
10800 	               0 	               0 	              -1
14400 	               0 	               0 	              -1
18000 	   4.6411454e-05 	   5.1264436e-06 	              -1
21600 	       19.124618 	       1.2522575 	       520.68221
25200 	       28.443248 	       1.3449982 	       521.00281
28800 	       31.268594 	       1.4638311 	       521.04393
32400 	       31.607501 	       1.4777715 	       521.04898
36000 	       31.430987 	       1.4712323 	       521.04529
