#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600 	               0 	               0 	              -1
7200 	               0 	               0 	              -1
10800 	               0 	               0 	              -1
14400 	               0 	               0 	              -1
18000 	               0 	               0 	              -1
21600 	               0 	               0 	              -1
25200 	               0 	               0 	              -1
28800 	       18.350325 	       1.0035303 	       520.64502
32400 	       21.118401 	       1.0941068 	       520.77231
36000 	       20.813521 	       1.0844573 	       520.75858
