#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	        407.5237 	       3.3329687 	       522.10985
900 	       795.92636 	       4.1158591 	       523.29146
1200 	       871.29986 	       4.2643339 	       523.47605
1500 	       941.20149 	       4.3955986 	       523.64101
1800.0009 	       1007.4909 	       4.5129644 	       523.79375
2100 	       1041.2776 	       4.5640156 	       523.87502
2400 	       1036.3528 	        4.576543 	       523.88935
2700 	       1028.7813 	       4.5645942 	       523.87289
3000 	       1012.5055 	       4.5333631 	       523.83827
