#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600.0008 	               0 	               0 	              -1
7200 	               0 	               0 	              -1
10800 	               0 	               0 	              -1
14400 	       12.617151 	      0.83410359 	       519.90743
18000 	       75.748422 	       1.7510145 	       520.56994
21600 	       120.40204 	       2.6255947 	        520.5857
25200 	       168.46368 	       3.3506751 	       520.88761
28800 	       134.55245 	       2.5075403 	       520.94528
32400 	       84.476356 	       1.6508877 	       520.64762
36000 	       42.892078 	       1.0245608 	       520.29143
