#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600.0008 	        354.4706 	       4.2502832 	         523.863
7200 	       564.17101 	       5.1371546 	        524.8467
10800 	       597.08171 	       5.2565374 	       524.98693
14400 	       679.06231 	       5.5508707 	       525.31254
18000 	       813.00074 	       5.9885844 	       525.81232
21600 	       869.96934 	       6.1599097 	       526.01606
25200 	       857.59889 	       6.1227405 	       525.97276
28800 	       829.98897 	       6.0394911 	       525.87444
32400 	       817.82968 	       6.0023826 	       525.83065
36000 	       768.01363 	       5.8462719 	       525.64887
