#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600.0008 	       329.48624 	       3.6643697 	       524.69215
7200 	       527.93318 	       4.4272332 	       525.54029
10800 	       557.26012 	       4.5261303 	       525.65231
14400 	       631.17315 	       4.7608864 	       525.92569
18000 	         791.122 	       5.2164435 	       526.47755
21600 	       861.30287 	       5.3982637 	       526.70578
25200 	       847.49538 	       5.3632489 	       526.66146
28800 	       814.56682 	       5.2782732 	       526.55462
32400 	       799.43358 	       5.2385195 	       526.50495
36000 	       741.04248 	       5.0807186 	       526.30968
