#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
3600.0008 	               0 	               0 	              -1
7200 	               0 	               0 	              -1
10800 	               0 	               0 	              -1
14400 	               0 	               0 	              -1
18000 	       42.628116 	       2.0024767 	       520.98346
21600 	       79.538196 	       3.0385866 	       521.81282
25200 	        102.9528 	        3.300015 	       522.18603
28800 	       122.97567 	        2.725062 	        522.7834
32400 	       119.88118 	        2.696397 	       522.75944
36000 	       112.53691 	       2.6037149 	        522.7023
