#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	       38.317366 	       1.9193466 	       521.50131
600 	       431.90696 	       4.7253939 	       524.16091
900 	       534.34926 	       5.1211687 	       524.64266
1200 	       608.51629 	       5.4032654 	       524.95088
1500 	       649.12333 	        5.303893 	       525.31447
1800 	       649.12333 	       4.3268061 	       526.34341
2100 	       649.12333 	        3.963218 	       526.85581
2400 	       649.12333 	        3.712383 	       527.26782
2700 	       649.12333 	       3.6064378 	       527.45906
3000.0007 	       649.12333 	       3.5722726 	       527.52315
