#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	       321.55623 	       3.0229671 	       521.78895
900 	       505.31962 	        3.471016 	       522.42522
1200 	       602.17196 	       3.7352382 	       522.70672
1500 	       667.71985 	       3.9075388 	       522.88314
1800 	       705.69526 	       3.9234343 	       523.05416
2100 	        742.0421 	       3.9967399 	       523.15216
2400 	       774.31834 	       4.0639936 	       523.23449
2700 	       792.12008 	       4.1001601 	       523.27936
3000.0007 	       800.36506 	        4.116878 	       523.29988
