#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	       40.571601 	       1.6418777 	       521.58342
600 	       478.02876 	       4.3812972 	       524.28456
900 	       600.56232 	       4.7419636 	       524.84599
1200 	       649.31238 	       4.8830878 	       525.04837
1500 	       682.34597 	        5.021069 	       525.14198
1800 	       747.02674 	       5.2782104 	        525.3223
2100 	       821.94717 	       5.4657672 	       525.60556
2400 	       838.97578 	       5.5122671 	       525.66384
2700.0009 	       842.27715 	       5.5215338 	        525.6748
3000 	        841.0818 	       5.5184606 	       525.67058
