#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	       522.34688
600 	               0 	               0 	       522.28329
900 	       217.70437 	       18.120968 	       522.35567
1200 	       528.50169 	       31.138608 	       522.45082
1500 	       528.60698 	       20.707234 	       522.32475
1800 	       528.68822 	        66.31344 	       522.42927
2100 	       87.716216 	       25.077807 	       522.36329
2400 	       248.74933 	       82.734194 	       522.25026
2700.0009 	       81.093222 	       25.240891 	       522.36114
3000 	       528.60133 	       102.65277 	         522.389
