#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	               0 	               0 	              -1
900 	               0 	               0 	              -1
1200 	               0 	               0 	              -1
1500 	           4.645 	      0.89190507 	       519.64225
1800 	       10.680821 	       1.0325988 	       519.83597
2100 	       14.043524 	       1.0241141 	       519.93482
2400 	       20.049636 	       1.0442106 	       520.02601
2700.0009 	       23.608803 	       1.1189744 	       520.07485
3000 	       24.270691 	       1.1320015 	       520.08359
