#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	               0 	               0 	              -1
900 	               0 	               0 	              -1
1200 	               0 	               0 	              -1
1500 	       45.458956 	       1.3886599 	       520.32651
1800 	       221.20167 	       2.6666535 	       521.39814
2100 	       250.08239 	       2.8010202 	       521.52189
2400.001 	       253.32768 	       4.1836937 	       521.37307
2700 	        148.2811 	       4.4044514 	       520.94072
3000 	       193.17927 	       5.7013662 	       520.91171
