#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	       316.34358 	       3.7161666 	       523.51706
600 	       597.08595 	       4.7731341 	       524.79621
900 	       594.96545 	       4.7661937 	        524.7878
1200 	       671.25521 	       4.9966507 	        525.0922
1500 	         902.918 	       5.6275058 	       525.92774
1800 	        733.4114 	       5.1801719 	        525.3239
2100 	        763.8888 	       5.2459691 	       525.45301
2400.001 	       824.92956 	       5.4443594 	       525.64202
2700 	       666.59261 	        4.992491 	       525.06589
3000 	       717.32938 	       5.1289357 	       525.26881
