#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	       41.497579 	       1.7274843 	       522.86475
600 	       389.10215 	       3.9170084 	       524.96456
900 	       523.60425 	       4.4133224 	        525.5228
1200 	        591.3037 	       4.6376173 	         525.779
1500 	       701.34358 	       4.9692015 	       526.17332
1800 	        783.7361 	       5.1972369 	       526.45267
2100 	       814.78692 	       5.2791038 	       526.55513
2400 	       809.95381 	        5.266845 	       526.53898
2700 	       802.80969 	       5.2483379 	        526.5153
3000 	       773.11236 	       5.1692549 	       526.41684
