#  Time[s]  	         Q[m3/s] 	          u[m/s] 	      wse[m_asl] 	
0 	               0 	               0 	              -1
300 	               0 	               0 	              -1
600 	               0 	               0 	              -1
900 	               0 	               0 	              -1
1200 	               0 	               0 	              -1
1500 	               0 	               0 	              -1
1800 	       59.871399 	       1.5936747 	       520.43038
2100 	       89.566575 	       1.8618081 	       520.67108
2400 	       90.402869 	       1.8022977 	       520.71693
2700 	       86.101132 	       1.7715381 	       520.68477
3000 	       78.338901 	       1.7589201 	       520.58947
